✅ Connected to Ethereum.
📦 Loaded 0 exclusions, 0 bait, 259360 already scanned.
🔍 Starting dust scan...
🟢 0x3d342BfC331De47d1039dFdb312d1dBd87F2ef3A | 0.004593 ETH | Wallet | Block 23095677
🟢 0xb178983E9C8C85c6955fdf4c66A9b7684a4D6292 | 0.000260 ETH | Wallet | Block 23095754
🟢 0xF3E5551892a1B38DE64BfFCD3f3Bb79a66AcD84C | 0.000247 ETH | Wallet | Block 23095754
🟢 0xA34f8021624E1FF569Dc7A054c55a540988088ba | 0.000310 ETH | Wallet | Block 23095754
🟢 0xbC4eD62AC70B54E356D6CB7331dF72f84DE02b9B | 0.000878 ETH | Wallet | Block 23095754
🟢 0xb64B146912058511a6Fbe9E7F9B06A6FCCa316F1 | 0.005936 ETH | Wallet | Block 23095754
🟢 0x78277eCa9DF3Df1ec4f9c3A4b1ab6356CCd49BE2 | 0.000407 ETH | Wallet | Block 23095754
🟢 0xB26C35Be8e3a4D2C42861556ecaFf0Bc0EC33bB0 | 0.001947 ETH | Wallet | Block 23095754
🟢 0x0B47d17DE980949b8b9a4681b9dD18894dd42652 | 0.010000 ETH | Wallet | Block 23095754
🟢 0x95f665D89E20eaE76b7c9c5aEFE8072D29EEbF99 | 0.000641 ETH | Wallet | Block 23095754
🟢 0x8fC4F8b84D744f5094726962A5cCE78bcf331Ff0 | 0.002083 ETH | Wallet | Block 23095754
🟢 0x6132Efd43740056be375aa52bc8CAeD35FacF921 | 0.000996 ETH | Wallet | Block 23095754
🟢 0xA7d616677F8e0D6F04d96c73c36C186DB2741c98 | 0.000242 ETH | Wallet | Block 23095754
🟢 0x4be539385aBD127D26335D841A156B92518560d0 | 0.004529 ETH | Wallet | Block 23095754
🟢 0xE62023e6359F2F05F33AF63dfD1D0CCf34ec81c5 | 0.000013 ETH | Wallet | Block 23095754
🟢 0x848081607F952003d8A7B900B8d5ee1F7A8f1BC9 | 0.000013 ETH | Wallet | Block 23095754
🟢 0x71B002D68EadF778c6237a09329070D18eE6EC60 | 0.000015 ETH | Wallet | Block 23095754
💾 CSV flush: wrote 18 rows to dust_sniper_results_v2.csv
🟢 0xbf2C7AC067FEA23756cD8da8439Ae055f8fF68c0 | 0.000103 ETH | Wallet | Block 23095755
🟢 0x3a6A0Bab1f2e832f6866566BB084a8811495c75D | 0.002952 ETH | Wallet | Block 23095755
🟢 0x0D945e08c21CA510a5e3da767bAb0718F907e452 | 0.000097 ETH | Wallet | Block 23095755
🟢 0xe44F28E3E8Cbd96797D689De921D4f925cB65220 | 0.001031 ETH | Wallet | Block 23095755
🟢 0x0Bd2c9c2bD2aA2F890A91810DC4f57FC95C99be3 | 0.000414 ETH | Wallet | Block 23095755
🟢 0xa240f00d7136eed02E7e2E924ceD5977C98Cb73B | 0.000290 ETH | Wallet | Block 23095755
🟢 0x71C5f4218AC3888EAd659B41F3301C6D5d35a0e6 | 0.000658 ETH | Wallet | Block 23095755
🟢 0x1e3c82a3f7d11e5340Bf370e43E60F19F421d949 | 0.000415 ETH | Wallet | Block 23095755
🟢 0xa95D2DDcC84b1851095729815543f860A95Fd773 | 0.003880 ETH | Wallet | Block 23095755
🟢 0x1b8545c3D1545290c2D83b76CD9BD77E65e56F32 | 0.000665 ETH | Wallet | Block 23095755
🟢 0x7de9834C417379b7A5e9F840af4DdAB8c7C17Cc6 | 0.000348 ETH | Wallet | Block 23095755
🟢 0x6A5D5147c79824Fcec9f7A6877015A508757cBE0 | 0.000044 ETH | Wallet | Block 23095755
🟢 0xf76EE29C8aaa91Cd5bF57e3a73edbf8c01CC1248 | 0.000036 ETH | Wallet | Block 23095755
🟢 0x3d53cD9e19CA2aBD6659F5A2afed2346f9AAbaa5 | 0.000015 ETH | Wallet | Block 23095755
🟢 0xBD2C5C4ADacF92ff05a7723a1BD4097C9F467072 | 0.000140 ETH | Wallet | Block 23095755
🟢 0x3ed015A1406fA3e05b84AaCcDB3Fb599f66e6065 | 0.000013 ETH | Wallet | Block 23095755
🟢 0x776481e17426f5a1afE3B0075D8F40838e598b8E | 0.001888 ETH | Wallet | Block 23095755
🟢 0x1149C17205Cb57966306b3bcb3f8A2b6C0F5f2C5 | 0.002938 ETH | Wallet | Block 23095755
🟢 0xBb20C73AfF27Bffde87dbE8AC04a649e7574636b | 0.002749 ETH | Wallet | Block 23095755
🟢 0x187BF045a494c063dF15D220026ccE3532663E14 | 0.000036 ETH | Wallet | Block 23095755
💾 CSV flush: wrote 20 rows to dust_sniper_results_v2.csv
🟢 0x78D497296b07F7807b213c2DFF2b00Cf35B48995 | 0.000302 ETH | Wallet | Block 23095756
🟢 0x9F97De122Ea466792172743DBc5A19A684Dd2b63 | 0.000022 ETH | Wallet | Block 23095756
🟢 0xCEe7A4a1507f2c873063CEC420c0e9523407A3dc | 0.001280 ETH | Wallet | Block 23095756
🟢 0xd7B2c4D94788556aC291644317f2D888C91f117e | 0.000034 ETH | Wallet | Block 23095756
🟢 0xd9A262feA1854d8a51f916111F51DA8F965f3948 | 0.000021 ETH | Wallet | Block 23095756
🟢 0x33cF01B1e6FFDa145927265BB1EFFDd12Dab80a0 | 0.000026 ETH | Wallet | Block 23095756
🟢 0x9884E3cb8aFB7a4BC0bf55aD2Be64b15F96FCCdE | 0.000026 ETH | Wallet | Block 23095756
🟢 0xDE0A6a281013963e929b611665aB1cA3f7E27E49 | 0.004448 ETH | Wallet | Block 23095756
🟢 0xd613b11cf688d8bF7C3b8Ea0c14CE39240F2b6AF | 0.000039 ETH | Wallet | Block 23095756
🟢 0x01eCa1e437704Ba195E9Be62699001614a0e85c7 | 0.000542 ETH | Wallet | Block 23095756
🟢 0xf2ecaAF3AF6C21144d2eBAcc855D84faD6B1595f | 0.000033 ETH | Wallet | Block 23095756
🟢 0x12a01D0AdC9A6b1df1c97aF45AD6944B90F4259D | 0.000965 ETH | Wallet | Block 23095756
🟢 0x115bb866dd7ac61188793f3cFd74F092d2902dC5 | 0.000799 ETH | Wallet | Block 23095756
🟢 0xEb8B7DDe2f9496333fd3E464784d15aaf9e0Ae4b | 0.000401 ETH | Wallet | Block 23095756
🟢 0xe6C523E6bb41e98568e6e5EcEEBD83240f77f2eF | 0.000378 ETH | Wallet | Block 23095756
🟢 0xB947237DDa5e9B5554a39486254888971c2597B0 | 0.007264 ETH | Wallet | Block 23095756
🟢 0xf6FdBe54C02110537e1b619265E140553E404895 | 0.000418 ETH | Wallet | Block 23095756
🟢 0x8ee0C1eaE103D1459555aF936d72A71CaE96447a | 0.000817 ETH | Wallet | Block 23095756
🟢 0xdd785440b6A631CEBe73FcF3EC7334D102117b36 | 0.002186 ETH | Wallet | Block 23095756
🟢 0x94E5FbD712C9E2641a59AB48f91fA0766EEFB7DE | 0.000587 ETH | Wallet | Block 23095756
💾 CSV flush: wrote 20 rows to dust_sniper_results_v2.csv
🟢 0x61D2dC06522F40ef227cC0F67df2A5490337b1b4 | 0.001662 ETH | Wallet | Block 23095757
🟢 0x2904e8C9F4189FFE523D1157dbDdc128C06BDa34 | 0.007510 ETH | Wallet | Block 23095757
🟢 0x2516AeE5CEA76fbCcBBC04EB20067eDe4Bf84aCd | 0.000147 ETH | Wallet | Block 23095757
🟢 0xF63c68223f778fC28c69fc3c30619C718639c6D2 | 0.000011 ETH | Wallet | Block 23095757
🟢 0xf0249eBe66adcFf7Ca8A10A4b9a97b10049ee478 | 0.001717 ETH | Wallet | Block 23095757
🟢 0xAD6d0A66096357B3d92b92a2829081E5AeA9d135 | 0.000052 ETH | Wallet | Block 23095757
🟢 0xA0357745DD9bf2B77E21218d5f7385975bA0fe22 | 0.000619 ETH | Wallet | Block 23095757
🟢 0xc8aFd60E8Cb84aBE7921F9f2bc8A83Ab1B69a670 | 0.000550 ETH | Wallet | Block 23095757
🟢 0xAE95448B647c21Cb4CeF93431A27f7Fe6aFFCfca | 0.000334 ETH | Wallet | Block 23095757
🟢 0xf5248B5B1582ae37450D85167DE07A06D87eD54B | 0.000693 ETH | Wallet | Block 23095757
🟢 0x32BaFdd95825d735fac5D97cfa1e02C4D41e21fd | 0.000793 ETH | Wallet | Block 23095757
🟢 0x5850fCD414A32869025cb90E0A11225e5a1aAa07 | 0.000245 ETH | Wallet | Block 23095757
🟢 0x31eC6AeB3f734E54aB2c269145eCdD0d6e0518D3 | 0.000294 ETH | Wallet | Block 23095757
🟢 0x4399c06774438e24803639e3A4592DAd32e958a0 | 0.003485 ETH | Wallet | Block 23095757
🟢 0x162Bf4Ac329F8341B0b291A9DCE4aF798678bfE6 | 0.001282 ETH | Wallet | Block 23095757
🟢 0xa6d5CA309D4DA2B285F27F019ad52Ebc314f5613 | 0.002078 ETH | Wallet | Block 23095757
🟢 0xcF1055F514B7E1dE59E4eC6d08959A63394d665a | 0.000303 ETH | Wallet | Block 23095757
🟢 0xc6744F31F482A80EEF0cCB637EBE43Cb986AdBE6 | 0.005379 ETH | Wallet | Block 23095757
🟢 0x379b79dB20977Dc337de5fBA2410D445400daC42 | 0.005698 ETH | Wallet | Block 23095757
🟢 0xb4fd903d0572b6d9e5A0629B0191BC76b154bdF3 | 0.003875 ETH | Wallet | Block 23095757
🟢 0x3d8ff20Ee0254AfD4b7847c07Af6606f9CaF694A | 0.002192 ETH | Wallet | Block 23095757
🟢 0x0B0E7f0086e20fecFbcF0744ecAF8100eb97D027 | 0.007988 ETH | Wallet | Block 23095757
💾 CSV flush: wrote 22 rows to dust_sniper_results_v2.csv
🟢 0x4116C95D2Bf481462fe64113F576141e45db392C | 0.000443 ETH | Wallet | Block 23095758
🟢 0xD2E9Ad61501317528B02469A498B0F55992Db567 | 0.000087 ETH | Wallet | Block 23095758
🟢 0xCBa48Ac01915bb94802193d23571c34d8D3FcEfa | 0.000022 ETH | Wallet | Block 23095758
🟢 0xaED3b3780EF6dcA2FCf77fA1217a5DDFe0419cbE | 0.000628 ETH | Wallet | Block 23095758
🟢 0x98fd91bedf131eC409f8C242BE6cE041A1bE8aAC | 0.000491 ETH | Wallet | Block 23095758
🟢 0xD17e0A37a5D983da3646298E89cE26DFa6F4d0ae | 0.001202 ETH | Wallet | Block 23095758
🟢 0x7BD2092b50F6A60a99da5774a2ab4A7AC1E06e77 | 0.000781 ETH | Wallet | Block 23095758
🟢 0xf471D5004eDAb07FE33eD9c24983747F50399A04 | 0.000028 ETH | Wallet | Block 23095758
🟢 0x774aDf0Bf9f289B873C654c5C76b00B25c45d182 | 0.009954 ETH | Wallet | Block 23095758
🟢 0xd2e2c8Bd7753EE529A15f3dB9aBB2B2ec93Aefa4 | 0.000029 ETH | Wallet | Block 23095758
🟢 0x606873e435a6F35BE73e9B3923a6C9fEA8A569d6 | 0.009495 ETH | Wallet | Block 23095758
🟢 0x253b7Cd0EE20BB5782a8b00aAacD6fE7c5f48E70 | 0.000044 ETH | Wallet | Block 23095758
💾 CSV flush: wrote 12 rows to dust_sniper_results_v2.csv
🟢 0x6b7cDfE4552dd7e2c9fd1A5bdc4C3c6924C6C749 | 0.008763 ETH | Wallet | Block 23095759
🟢 0xB8b2f02082DAf8c4f9B86de296C6Ac608A51b9Bc | 0.000258 ETH | Wallet | Block 23095759
🟢 0x1689EaA92AEa179960E877d5Fa2C3c87AD5CC26E | 0.000020 ETH | Wallet | Block 23095759
🟢 0x573F52A7b5bBA20B74215fA0D0907B1bAd7b7ae3 | 0.003431 ETH | Wallet | Block 23095759
🟢 0x47C9D77Ce1124EfBd4F34E4ea732e8977153eB81 | 0.000664 ETH | Wallet | Block 23095759
🟢 0x362F7C169d4424a82f15A546a22774eEFae41E8d | 0.001131 ETH | Wallet | Block 23095759
🟢 0xE0f73C05e0AB29031e9736a376D91473c26C28b7 | 0.000642 ETH | Wallet | Block 23095759
🟢 0x942d2257aFA1275E1DCDC0e582373133Af439C84 | 0.000905 ETH | Wallet | Block 23095759
🟢 0x2C9986E290d8e63f26b469A587aff27fe3b562D7 | 0.001086 ETH | Wallet | Block 23095759
🟢 0x45E1B57eF18AeB1f1C300f585dbB8C888701F146 | 0.000541 ETH | Wallet | Block 23095759
🟢 0x687b2C635C0e0bFEF04582b186c224168c263969 | 0.000332 ETH | Wallet | Block 23095759
🟢 0x5Bc37FfB2CbfD30bcA130049bC3AB75aA7EE3434 | 0.000297 ETH | Wallet | Block 23095759
🟢 0xA2f98fc31b0bb0a7e305172dd45fd93c2a4eB054 | 0.002364 ETH | Wallet | Block 23095759
🟢 0x9C90ef97976d0602d1bcc6550630497d3d51631c | 0.000231 ETH | Wallet | Block 23095759
🟢 0x84203B18E6FB6811a51cCfa8a21E41c9Fd904Afa | 0.001177 ETH | Wallet | Block 23095759
🟢 0x6A4B37BE413b00f81826e12793790756cc67d954 | 0.002946 ETH | Wallet | Block 23095759
🟢 0xB36354c1Ca47a60D3ED11a34ee82460D67bD2B49 | 0.000480 ETH | Wallet | Block 23095759
🟢 0x923B7C47F836Ce7fC23d6EDDa587f0d87763F168 | 0.000480 ETH | Wallet | Block 23095759
🟢 0x9f372ff4615abd76496E106c3cDc955454590ffb | 0.000480 ETH | Wallet | Block 23095759
🟢 0xc25ebae9e05080ef2F694725D0465dF02e7FeFed | 0.000480 ETH | Wallet | Block 23095759
🟢 0xd3a23c1138c040793e354839816Cac4Aa435D720 | 0.003856 ETH | Wallet | Block 23095759
🟢 0xA5166768945De039Edf8485eF26703FBabB7Ac54 | 0.000480 ETH | Wallet | Block 23095759
🟢 0xC42B8a057c0482C8944B4220E9613588CFB36B1d | 0.000480 ETH | Wallet | Block 23095759
🟢 0x2544745e07A810fCB56EEf883A301B1F1A8F072b | 0.000480 ETH | Wallet | Block 23095759
🟢 0xe0e0BaBCd1b1A7708692eCb9e341f90F4379Dd71 | 0.000480 ETH | Wallet | Block 23095759
🟢 0x9c701f7d325a41461A93bFC96d7B7D959C849C96 | 0.000014 ETH | Wallet | Block 23095759
🟢 0x25CAfcd77Efa110B91EF954FD2736a36869E63Ca | 0.000480 ETH | Wallet | Block 23095759
🟢 0x721D4Dc5C15cA1D3f77fbDA15dA52EA20d63de5C | 0.000480 ETH | Wallet | Block 23095759
🟢 0x456d8301810FF34A24014F2EA30a3212fDAb274e | 0.000794 ETH | Wallet | Block 23095759
🟢 0xAD1D0071F6efA94c6d5381BBd8623978bFb6c2e6 | 0.000396 ETH | Wallet | Block 23095759
💾 CSV flush: wrote 30 rows to dust_sniper_results_v2.csv
🟡 0x111265b1c129170188d0eDdCbaBF479d521e7886 | 0.007568 ETH | Contract | Block 23095760
🟢 0x67a51357dB576A7096229344b7261C6380df2425 | 0.004867 ETH | Wallet | Block 23095760
🟢 0xA20B4448cF6D46428824D99dF39e2a3e7c66D851 | 0.008031 ETH | Wallet | Block 23095760
🟢 0x65443f929A17bE67d4c6FA58a9E9bcD4B2572158 | 0.001960 ETH | Wallet | Block 23095760
🟡 0x78D3214352cb7a5BA94d47a8217B89153c9282dC | 0.001890 ETH | Contract | Block 23095760
🟢 0x2376AFa9d9Da169d97379225a9de139f10DEc5dC | 0.000665 ETH | Wallet | Block 23095760
🟢 0x2f4dAFBCD2542FAc27C9e050ac59a1C33da14Ee8 | 0.000514 ETH | Wallet | Block 23095760
🟢 0xBD37cB96927EdE20787835a35096F1C0171fE660 | 0.000805 ETH | Wallet | Block 23095760
🟢 0x4CDF2b43ab9A142d66B552Be9F714b9130FFc8E4 | 0.002821 ETH | Wallet | Block 23095760
🟢 0x7d6e062497ef9C1668d0AA850007c7C4dECbC8a0 | 0.000049 ETH | Wallet | Block 23095760
🟢 0x9c895F8CaD053f8f1517071C71c272f44DFD6C49 | 0.000068 ETH | Wallet | Block 23095760
🟢 0x611DfD8E88ea9E738AE3f8cccFdb57838435a005 | 0.001968 ETH | Wallet | Block 23095760
🟢 0x2A6dB40b8A19f97c97e74F166CA2e8A5f70c961E | 0.000344 ETH | Wallet | Block 23095760
🟢 0xbB3EA72358481ba016b11314F053646c42CD3816 | 0.004228 ETH | Wallet | Block 23095760
🟢 0x86b55235D3d50a7e6dDe6E67b92de619A1cFc4F2 | 0.004212 ETH | Wallet | Block 23095760
🟢 0xc5bcB4bFA323296133eB62076Af30BAF136454C0 | 0.008313 ETH | Wallet | Block 23095760
🟢 0xC4bb07b46d357cdD5a01853dfF6d71A25c19c7fC | 0.002481 ETH | Wallet | Block 23095760
💾 CSV flush: wrote 17 rows to dust_sniper_results_v2.csv
🟢 0x86aa955704cA380F048C16f442A64641C725D711 | 0.000131 ETH | Wallet | Block 23095761
🟢 0xFc043A1E2F903585692C2D9E860514C222f4Ac9a | 0.002912 ETH | Wallet | Block 23095761
🟢 0xda33B5073b9d7edF242368335252C2b788539E58 | 0.000038 ETH | Wallet | Block 23095761
🟢 0xEe0B501D3cBD6DeA51cFD8a72C46387c0a97Df76 | 0.000137 ETH | Wallet | Block 23095761
🟢 0x4Dc810b524C4db5191830598a046968178e80409 | 0.000107 ETH | Wallet | Block 23095761
🟢 0x83F911C8299D9026A639CA6409B10bd7F57E5852 | 0.000084 ETH | Wallet | Block 23095761
🟢 0x1C784bf71c9CD734a2BD1067cA7369e7f8dF5a6a | 0.000866 ETH | Wallet | Block 23095761
🟢 0x2107eB6f999755F1F06403F2d1871B6644345c98 | 0.000485 ETH | Wallet | Block 23095761
🟢 0xFB3F375dd98617cffF0B20c96C24F4F0817e917b | 0.000853 ETH | Wallet | Block 23095761
🟢 0xb39b1c95384A1458B7D09307fab0a86609c297cB | 0.001301 ETH | Wallet | Block 23095761
🟢 0xa971d3D2A3F508ec7D0b2982ACA6c9Ad65D75277 | 0.000343 ETH | Wallet | Block 23095761
🟢 0xCE86954a155a4e677D582DAa68ff1e2d5c14d9d6 | 0.000282 ETH | Wallet | Block 23095761
🟢 0x5041c487b2EB6B159DB73d193B0066F8f0344eb1 | 0.001497 ETH | Wallet | Block 23095761
🟡 0xafD24A2F5fE62a81E9a5D3aeF0e3620737dBe22F | 0.005569 ETH | Contract | Block 23095761
🟢 0x91120b1C763A0e97aA83d75731D3d10917BF8295 | 0.009944 ETH | Wallet | Block 23095761
🟡 0x3bc911b082Cc35448B2508ed1E666C2E652dec70 | 0.000841 ETH | Contract | Block 23095761
🟢 0x3Ca956958AA1A27055E96eBaF2441CDC1eeC60CC | 0.000242 ETH | Wallet | Block 23095761
🟢 0xBB5685881570d58B3ca509E2e4C84a62b1482cB0 | 0.001563 ETH | Wallet | Block 23095761
🟢 0xbf6da46698cAe94216227899996a690864c1D992 | 0.003196 ETH | Wallet | Block 23095761
🟢 0x5E91FcB0F85d64919ccf0796B7e17b1cc29FEE9B | 0.001387 ETH | Wallet | Block 23095761
💾 CSV flush: wrote 20 rows to dust_sniper_results_v2.csv
🟡 0x5f4336f57cf41821522F1777321462B108De55C2 | 0.000100 ETH | Contract | Block 23095762
🟢 0xC64cC6DEBB7ad02E148EFDc041Ba0fbAC97E0f69 | 0.000996 ETH | Wallet | Block 23095762
🟢 0xdE6e74572E090E3F8B8E46010F4dBD1C44C91121 | 0.000149 ETH | Wallet | Block 23095762
🟢 0x05CdF9D7eD0d7481b35d22707c95272C0F292974 | 0.000118 ETH | Wallet | Block 23095762
🟢 0x5a8C7eac4DD04Fe563E48dF6AA3E85511920beFd | 0.000040 ETH | Wallet | Block 23095762
🟢 0xbd563e2B163C336Ab0E11F6c79bF16cCCecbb30B | 0.006413 ETH | Wallet | Block 23095762
🟢 0x9cCd6B71Ff1064869b0037c7C42726a0F5678F54 | 0.002042 ETH | Wallet | Block 23095762
🟢 0x7e9678b4BF86535166f2e901c50563309ab9433c | 0.000456 ETH | Wallet | Block 23095762
🟢 0xad8Aa616a720CFC012B64fE7d536B446993c9824 | 0.000280 ETH | Wallet | Block 23095762
🟢 0x629d8819e6A8b2F7B1A47D1830b9A84E5C8e5Fe8 | 0.000556 ETH | Wallet | Block 23095762
🟢 0x3cfAaf5C824F4E79f14f6a6C42CD314Ab565b26A | 0.000965 ETH | Wallet | Block 23095762
🟢 0xDbf3353eCf481eaB1A8cad739ea5c2592b3D23dA | 0.000134 ETH | Wallet | Block 23095762
🟢 0x33714dc64317329450b6D6B372fD79921b2E54ce | 0.000042 ETH | Wallet | Block 23095762
🟢 0xd6ae41b96Bfaeb426085E85636c9d34f02f27CBF | 0.000042 ETH | Wallet | Block 23095762
🟢 0x947119BDb7007B5057F5fBDD053211898348d8C4 | 0.003085 ETH | Wallet | Block 23095762
🟢 0x17F529a84f2C79e1C71f0034a11fC5470D8f7226 | 0.001943 ETH | Wallet | Block 23095762
🟢 0x92A5dc97dFe0a16f67bb7febFEfcC1679394f714 | 0.005208 ETH | Wallet | Block 23095762
💾 CSV flush: wrote 17 rows to dust_sniper_results_v2.csv
🟢 0xD4bcEfa2B5b230955Bb84F284f1616dFfa128083 | 0.000046 ETH | Wallet | Block 23095763
🟢 0x7fE18ea36628Ff18cDBcE39A27D37C71A9098888 | 0.009267 ETH | Wallet | Block 23095763
🟢 0x78FeFF0F68dE394CFeC07598AeEdE030a83d08dC | 0.004511 ETH | Wallet | Block 23095763
🟢 0xc29EF3c6DE16Ff7f008E5CBaDc77a05FF1B4a247 | 0.006202 ETH | Wallet | Block 23095763
🟢 0x4B1af11eB9E7755914a0866F2665A5cb812e66d8 | 0.000489 ETH | Wallet | Block 23095763
🟢 0xbe96F69959F6406C081f966d416FA925fa071221 | 0.000127 ETH | Wallet | Block 23095763
🟢 0x3030630112a403216B5C22BF388Bc147a542cE05 | 0.000025 ETH | Wallet | Block 23095763
🟢 0x9240c84D64eAc68BD2Ec0b2eE037CD6752134E48 | 0.000015 ETH | Wallet | Block 23095763
🟢 0xFDA0AC3496fc72fBC3884B6C6B461E06CD329839 | 0.001067 ETH | Wallet | Block 23095763
🟢 0x8055FA32CfCbb975873E2848dD0B6187020112e5 | 0.000568 ETH | Wallet | Block 23095763
🟢 0x76Ff83a62c3eeDa6F7C5Db64403Eda514164aBF5 | 0.000298 ETH | Wallet | Block 23095763
🟢 0x4eAF4eD55dB987875fb50A3539A6A3a36Ab69441 | 0.000332 ETH | Wallet | Block 23095763
🟢 0x3682f6dB53881ad98fD7a6f8EF7c94A89300d9F9 | 0.000533 ETH | Wallet | Block 23095763
🟢 0xA5b218a6AD726F075b8Eb05A4E19c5415814F527 | 0.000017 ETH | Wallet | Block 23095763
🟢 0xA6bc84F7F7fC38100FFd9B93d78a0229e3394c9F | 0.000412 ETH | Wallet | Block 23095763
🟢 0xe90c5a7D08481c3285F55029571332df3355309f | 0.000600 ETH | Wallet | Block 23095763
💾 CSV flush: wrote 16 rows to dust_sniper_results_v2.csv
🟢 0x0Db8239E88932d928b1b5774B2929F155eE1F63A | 0.000985 ETH | Wallet | Block 23095764
🟢 0x647584B7165b647100A811c94D751A55B87F4a70 | 0.000579 ETH | Wallet | Block 23095764
🟢 0x8723D52FE6e7f7b2e3c2b403533F1eafe28a311C | 0.000062 ETH | Wallet | Block 23095764
🟢 0x13A49BF6A266DF17817e9D6568cE0cF245349768 | 0.000715 ETH | Wallet | Block 23095764
🟢 0xAc0Ba1CaFf9223b91Adc36Cf8d0cd05015D041E1 | 0.000516 ETH | Wallet | Block 23095764
🟢 0x0289D3D42cA614e4036AF49f0AdDd24b2D1C9598 | 0.000353 ETH | Wallet | Block 23095764
🟢 0x7F6a80166C1B7c258d93E5791AA39F2a3609211f | 0.000025 ETH | Wallet | Block 23095764
🟢 0x80c1973AE1ED00BDb841BC1aB791FB89a0Caac61 | 0.000059 ETH | Wallet | Block 23095764
🟢 0x224D8376315747fC8c981285Dc2B8C949B92f9Ec | 0.002743 ETH | Wallet | Block 23095764
🟢 0xef95E1e90dcDb901Cc3261834c40E326CCD5f497 | 0.000070 ETH | Wallet | Block 23095764
🟢 0x2a6dDB08693Cb2ddF0d9AeAE6c33F9618d43EFeb | 0.000777 ETH | Wallet | Block 23095764
🟢 0x171B7eDb405eCB25Bd80A5938115aC50208775F7 | 0.000536 ETH | Wallet | Block 23095764
🟢 0x4d612d8EC8D8557644A76D9649bF4f0D7b9ac794 | 0.000601 ETH | Wallet | Block 23095764
🟢 0xF1e541acD62cAbF5FFF6ea64bca32CA0D66c39db | 0.007612 ETH | Wallet | Block 23095764
🟢 0x2ba26324f5d520362742D1B1bfd54B16E40BbAad | 0.000019 ETH | Wallet | Block 23095764
🟢 0x3AA38C1786ac385AF42332A4134Dc583BB7d22Cb | 0.000739 ETH | Wallet | Block 23095764
🟢 0xa936C5Eb04ccca70f85F7e8f639F4d27288EE57A | 0.000395 ETH | Wallet | Block 23095764
🟢 0xa3D298d7f8e9F6AB6138f1c4Ba231f11fEb50Abd | 0.000017 ETH | Wallet | Block 23095764
🟢 0xd441985c39F8e849011AC4833b0c1173DCD5d38f | 0.003988 ETH | Wallet | Block 23095764
🟢 0xCeEdcaBFAb8c9fA802d9D14BE44911Fc5a816ADc | 0.000584 ETH | Wallet | Block 23095764
🟢 0xa052Ddf1c1739419B90FB7bf722843AD3e63114B | 0.005327 ETH | Wallet | Block 23095764
💾 CSV flush: wrote 21 rows to dust_sniper_results_v2.csv
🟢 0x54797Ee70d1CC9d61C0801E9b6E7fD24b7637e14 | 0.007201 ETH | Wallet | Block 23095765
🟢 0xa437Ea2746Ed02d9b7dF69CF2672FaB9A1391064 | 0.008496 ETH | Wallet | Block 23095765
🟢 0x2753C9B4cA9dfeAaB6010cf06987F125154b8Aed | 0.000952 ETH | Wallet | Block 23095765
🟢 0x0524cc1A180629CADD10B9A2DBF3EB405d09f83E | 0.000017 ETH | Wallet | Block 23095765
🟢 0x9fc092C49EfEbf54096ED703B23440226E2fC2A7 | 0.000019 ETH | Wallet | Block 23095765
🟢 0x2940F8a09b93E49204c2620A4cb673b80E5D85c8 | 0.000098 ETH | Wallet | Block 23095765
🟢 0xD1310cF7dAb561A26a3a1E24f8eB07dCF494d161 | 0.000042 ETH | Wallet | Block 23095765
🟢 0xa5D4FbD7b0f5872EFcDb5bed00F879d6B7634653 | 0.005703 ETH | Wallet | Block 23095765
🟢 0xa96D3947fD45D1DB077b85d25E1CaA4D5861208C | 0.003608 ETH | Wallet | Block 23095765
🟢 0x351f584f3aF6535175249ceca2E87EEa9CdeDB1D | 0.000381 ETH | Wallet | Block 23095765
🟢 0xe2B7404df36F048C19BD38D48030b253B2309141 | 0.000097 ETH | Wallet | Block 23095765
🟢 0xfF717F27ef0B15EFe9dF48C1787F587a22f5776B | 0.002030 ETH | Wallet | Block 23095765
🟢 0x6ef78bF8032dF9bc896B201910b849757b9514ca | 0.000889 ETH | Wallet | Block 23095765
🟢 0xb8382520873F20251f58236CEa1C615B58071ec8 | 0.000217 ETH | Wallet | Block 23095765
🟢 0xd9DEAC2d1D8e2cEF970BE23C8b0CE0d83741Df81 | 0.000774 ETH | Wallet | Block 23095765
🟢 0xaBDc399A62d38DB270456a423673E3f2F7599053 | 0.000896 ETH | Wallet | Block 23095765
🟢 0xAAFd8cB67bB75c6Df806723E243fdB38b4466043 | 0.000297 ETH | Wallet | Block 23095765
🟢 0x47934Fd3774a7966A5eDbACc9b658161df84Cb55 | 0.000343 ETH | Wallet | Block 23095765
🟢 0x61030434a8535B649cfE36C5F6194f2B6e9Bf247 | 0.007628 ETH | Wallet | Block 23095765
🟢 0x6ac472B60D6abF046C2d607dCA52DE679676B282 | 0.002937 ETH | Wallet | Block 23095765
🟢 0x82d7c4772A9ab8fD3b07D6F0c170905974DcCd02 | 0.000012 ETH | Wallet | Block 23095765
🟢 0x328019273aFA20eDC4F397Af7481a08678B8c0b8 | 0.000016 ETH | Wallet | Block 23095765
🟢 0xb351AF927c53760bfD20A532E3796515E5F53775 | 0.000047 ETH | Wallet | Block 23095765
🟢 0x35d16FB104c881f6cEd80E64910c720c1e022624 | 0.000057 ETH | Wallet | Block 23095765
💾 CSV flush: wrote 24 rows to dust_sniper_results_v2.csv
